movie_id,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,director,stars
345061,Code 46,2003.0,6.2,19867,1542.8,189,221,64,7500000.0,886018,562,6.157811245859599
113198,A Goofy Movie,1995.0,6.9,45728,1765.6,49,11,64,18000000.0,35348597,463,6.168970480623857
2170427,Good Kids,2016.0,6.1,9286,955.6,110,224,79,3000000.0,23627,131,6.173903408978746
996962,Modern Love,2008.0,5.3,270,533.8,136,104,147,6414470.0,2159162,776,6.152811462027555
1305907,Qian bu gou yong 2,2008.0,6.2,163,1116.2,110,205,104,1126066.0,4759454,323,6.18089201923645
6471684,Polícia Federal: A Lei é para Todos,2017.0,6.7,3235,1927.8,26,35,194,4600000.0,6382550,520,6.15679096732662
5669936,The Recall,2017.0,4.2,6794,617.2,38,41,64,3600000.0,112357,545,6.159105962239191
85694,The House on Sorority Row,1982.0,6.0,7343,1286.4,213,224,64,425000.0,10604986,532,6.158938435187944
2609758,A Madea Christmas,2013.0,4.9,5828,280.2,116,224,64,25000000.0,53396635,824,6.162901386751877
165494,Ringmaster,1998.0,3.2,4829,371.2,99,224,64,20000000.0,9257103,594,6.164478513884847
790636,Dallas Buyers Club,2013.0,8.0,436796,2413.4,92,224,115,5000000.0,55736588,346,6.162860133911574
8242160,4 latas,2019.0,5.9,2448,1037.4,110,211,3,3652194.0,400530,277,6.165968282447871
1637725,Ted,2012.0,6.9,566878,1937.0,99,224,115,50000000.0,549368315,742,6.159918664941988
3949936,Supilinna Salaselts,2015.0,6.7,546,1759.8,6,96,141,1387833.0,391572,523,6.151650493643626
4645330,Denial,2016.0,6.7,19008,1769.2,92,222,90,10000000.0,7994527,569,6.171463994965195
5037996,Bulanti,2015.0,6.3,1883,1227.4,158,220,208,0.0,71022,874,6.180167380514773
1232776,Fish Tank,2009.0,7.3,58579,1720.4,158,188,64,3000000.0,2404300,43,6.160824506479507
119558,Lolita,1997.0,6.9,51850,1724.0,188,131,64,62000000.0,1071255,7,6.162072614929574
458515,"Io, Don Giovanni",2009.0,7.0,547,1725.8,170,119,160,10000000.0,253078,115,6.147969275338602
