tconst,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,runtime,director,stars
tt0054167,Peeping Tom,1960.0,7.7,"31,091","Mark Lewis, works as a focus puller in a British film studio. On his off hours, he supplies a local porno shop with cheesecake photos and also dabbles in filmmaking. A lonely, unfriendly, sexually repressed fellow, Mark is obsessed with the effects of fear and how they are registered on the face and behavior of the frightened. This obsession dates from the time when, as a child, he served as the subject of some cold-blooded experiments in terror conducted by his own scientist father. As a grown man, Mark becomes a compulsive murderer who kills women and records their contorted features and dying gasps on film. His ongoing project is a documentary on fear. With 16mm camera in hand, he accompanies a prostitute to her room and stabs her with a blade concealed in his tripod, all the while photographing her contorted face in the throes of terror and death. Alone in his room, he surrounds himself with the sights and sounds of terror: taped screams, black-and-white ""home movies"" of convulsed...","Drama,Horror,Thriller",UK,English,"GBP135,000","$24,640",1h 41min,Michael Powell,"Anna Massey,Karlheinz Böhm,Moira Shearer"
tt0437447,Qian li zou dan qi,2005.0,7.3,"4,852","In a village of fishermen in Japan, Takata misses his son Kenichi, to whom he has been estranged for many years. When his daughter-in-law Rie tells him that Kenichi is sick in the hospital, she suggests Takata to come to Tokyo to visit his son in the hospital where he would have the chance to retie the relationship. However, Kenichi refuses to receive his father in his room, and Rie gives a videotape to Takata to know about the work of his son. Once at home, Takata sees a documentary in the remote village Lijiang, in the province of Younnan, about the passion of Kenichi, the Chinese opera, where the lead singer Li Jiamin promises to sing an important folk opera on the next year. When Rie calls Takata to tell that her husband has a terminal liver cancer, Takata decides to travel to Lijiang to shoot Li Jiamin singing the opera to give to Kenichi.",Drama,"China,Hong Kong,Japan","Japanese,Mandarin","$7,500,000","$3,752,325",1h 47min,Yimou Zhang,"Ken Takakura,Kiichi Nakai,Shinobu Terajima"
tt0083929,Fast Times at Ridgemont High,1982.0,7.2,"93,657","Follows a group of high school students growing up in southern California, based on the real-life adventures chronicled by Cameron Crowe. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. The center of the film is held by Jeff Spicoli, a perpetually stoned surfer dude who faces off with the resolute Mr. Hand, who is convinced that everyone is on dope.","Comedy,Drama",USA,English,"$4,500,000","$27,092,880",1h 30min,Amy Heckerling,"Jennifer Jason Leigh,Judge Reinhold,Sean Penn"
tt0330193,Les dangereux,2002.0,3.7,327,"It has kidnapped Roxane Labelle, a Canadian singer covered gold records and awards. To his captors, no question of release without payment of a large ransom. Father and manager of the star, Paul Labelle asks a small accountant do it. Easier said than done, especially the payer also has a large sum to the Mafia and, rapidly, what Québec account scoundrels, thieves and killers are chasing the fabulous bonanza.","Comedy,Crime",Canada,French,"CAD7,400,000","$341,280",1h 48min,Louis Saia,"Marc Messier,Stéphane Rousseau,Véronique Cloutier"
tt0108148,Siu nin Wong Fei Hung chi: Tit ma lau,1993.0,7.5,"15,313","A Hong Kong variation on Robin Hood. The corrupt officials of a Chinese village are continually robbed by a masked bandit know as ""Iron Monkey"" named after a benevolent deity. When all else fails, the Govenor forces a traveling physician (Donnie Yen) into finding the bandit. The arrival of an evil Shaolin monk, brings the Physician and Iron Monkey together to battle the corrupt government.","Action,Crime,Drama",Hong Kong,Cantonese,"$11,000,000","$14,694,904",1h 30min,Woo-Ping Yuen,"Donnie Yen,Jean Wang,Rongguang Yu"
tt1489253,Fobos. Klub strakha,2010.0,3.6,519,"Rainy summer evening... Young people are arriving at the new trendy club named Phobos which is still under construction. Or re-construction - since it's a former bomb shelter which is reconstructed to become a club. At first, the party sees nothing wrong, but soon the bunker doors turn out to be locked, and the teenagers get trapped underground without light and communication. At first, all of them are joking and do not realize how dangerous their situation is. Then they get frightened. All of them will need to cope with their fears before the bunker will let them free.","Horror,Thriller","Estonia,Russia",Russian,"$2,500,000","$630,706",1h 18min,Oleg Assadulin,"Agniya Kuznetsova,Pyotr Fyodorov,Pyotr Tomashevskiy"
tt0133152,Planet of the Apes,2001.0,5.7,"209,432","It is the year 2029: Astronaut Leo Davidson boards a pod cruiser on a Space Station on a rescue and recovery mission. But an abrupt detour through a space time wormhole lands him on a strange planet where talking apes rule over the human race. With the help of a sympathetic chimpanzee activist named Ari and a small band of human rebels, Leo leads the effort to evade the advancing Gorilla Army led by General Thade and his most trusted warrior Attar. Now the race is on to reach a sacred temple within the planet's Forbidden Zone to discover the shocking secrets of mankind's past - and the key to its future.","Action,Adventure,Sci-Fi",USA,English,"$100,000,000","$362,211,740",1h 59min,Tim Burton,"Helena Bonham Carter,Mark Wahlberg,Tim Roth"
tt0109959,Gunmen,1993.0,5.3,"3,289","Four hundred million dollars are hidden in a boat in some harbor in South America, hidden by Dani Servigo's brother. When his brother gets killed, Dani is a wanted man, by undercover D.E.A. Agent Cole Parker and also by Armor O'Malley, who is working for drug boss Loomis. Together, Servigo and Parker search for the boat.","Action,Comedy,Crime","Mexico,USA",English,"$8,030,000","$3,411,885",1h 34min,Deran Sarafian,"Christopher Lambert,Denis Leary,Mario Van Peebles"
tt0101798,Edward II,1991.0,6.8,"2,416","In this Derek Jarman version of Christopher Marlowe's Elizabethan drama, in modern costumes and settings, Plantagenet king Edward II hands the power-craving nobility the perfect excuse by taking as lover besides his diplomatic wife, the French princess Isabel, not an acceptable lady at court but the ambitious Piers Gaveston, who uses his favor in bed even to wield political influence - the stage is set for a palace revolt which sends the gay pair from the throne to a terminal torture dungeon.","Drama,History,Romance","Japan,UK","English,Italian","GBP750,000","$706,131",1h 27min,Derek Jarman,"Andrew Tiernan,Kevin Collins,Steven Waddington"
tt0122718,Small Soldiers,1998.0,6.2,"91,167","Fifteen-year-old Alan Abernathy, the son of a toy store owner, tries out some new action figures: The Commando Elite versus The Gorgonites. But three months ago, a toy company believes it is onto something when it employs the latest government military technology in a series of action figures, enabling them to talk. They underestimate the power of the special micro chips they've employed, however, as the two opposing sides of the toy line start thinking for themselves and engaging in real combat! The Commando Elite vow to wipe out the Gorgonites in a suburban neighborhood. Alan, his neighbor Christy Fimple, (on whom he has a massive crush) with the help of the kind Gorgonites, must protect his home and family from the Commandos.","Action,Adventure,Comedy",USA,English,"$40,000,000","$54,682,547",1h 48min,Joe Dante,"David Cross,Gregory Smith,Kirsten Dunst"
tt1930425,Okkar eigin Osló,2011.0,6.2,113,"An amusing, topsy turvy, comedy about what might happen when the holiday casual hook-up turns domestic. Especially when there are bosses, families and their expectations of normalcy involved - and the protagonists having nothing even remotely normal going on with their lives. Except for their unusual families...","Comedy,Romance","Iceland,Norway",Icelandic,"$1,800,000","$261,779",1h 37min,Reynir Lyngdal,"Brynhildur Guðjónsdóttir,Hilmir Snær Guðnason,Þorsteinn Guðmundsson"
tt0119164,The Full Monty,1997.0,7.2,"98,131","In the decaying steel mill town of Sheffield in Northern England, friends Gaz and Dave, both now unemployed and on the dole after the closure of most of the town's steel mills, steal scrap metal from the closed mills to supplement their meager income, often with Gaz's twelve year old son, Nathan, on the days Gaz has custody. Still, Gaz is behind in child support payments to his ex-wife, Mandy. When Mandy threatens to sue for full custody in that Gaz can't support Nathan in any way, Gaz, seeing the long line up of women clamoring to get in to see a touring Chippendales styled dance troupe, thinks he can solve his financial and thus custody problems by forming his own male exotic dance troupe with some of his fellow un- or underemployed ex-mill workers. In addition to Dave, he has in mind middle-aged Gerald, their former foreman who has not told his spending-happy wife Linda that he has been unemployed for six months, and Lomper, a mild-mannered security guard who they just met in the ...","Comedy,Drama","UK,USA",English,"$3,500,000","$257,938,649",1h 31min,Peter Cattaneo,"Mark Addy,Robert Carlyle,Tom Wilkinson"
tt0099994,Leatherface: Texas Chainsaw Massacre III,1990.0,5.1,"14,094","A couple encounters a perverted gas station attendant who threatens them with a shotgun. They take a deserted path in Texas to seek help, but only meet up with a cannibalistic clan interested in helping themselves to fresh meat.","Horror,Thriller",USA,English,"$2,000,000","$5,765,562",1h 25min,Jeff Burr,"Kate Hodge,Ken Foree,R.A. Mihailoff"
